<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	01:00:00	1903.13	1914.88	1903.13	1913.02	3944	0	16
2021.01.04	02:00:00	1912.98	1913.59	1909.92	1913.36	2585	0	16
2021.01.04	03:00:00	1913.36	1918.59	1912.23	1916.61	6651	0	17
2021.01.04	04:00:00	1916.61	1921.77	1915.47	1921.65	4229	0	16
2021.01.04	05:00:00	1921.65	1925.19	1920.70	1923.22	4023	0	17
2021.01.04	06:00:00	1923.22	1923.73	1920.19	1922.57	2454	0	17
2021.01.04	07:00:00	1922.57	1922.95	1918.96	1921.59	3738	0	16
2021.01.04	08:00:00	1921.59	1925.46	1921.41	1922.82	3506	0	17
2021.01.04	09:00:00	1922.82	1925.43	1922.35	1924.74	3208	0	16
2021.01.04	10:00:00	1924.86	1935.07	1924.52	1932.08	5798	0	16
2021.01.04	11:00:00	1931.99	1933.86	1930.49	1932.11	3595	0	16
2021.01.04	12:00:00	1932.10	1934.44	1927.85	1933.48	4663	0	16
2021.01.04	13:00:00	1933.49	1936.43	1932.28	1933.46	4346	0	17
2021.01.04	14:00:00	1933.46	1934.79	1930.02	1931.85	5358	0	16
2021.01.04	15:00:00	1931.90	1941.96	1929.71	1939.76	8142	0	16
2021.01.04	16:00:00	1939.78	1943.64	1936.61	1941.33	8290	0	16
2021.01.04	17:00:00	1941.34	1944.36	1929.25	1942.92	9326	0	16
2021.01.04	18:00:00	1942.92	1943.62	1937.26	1939.93	8271	0	16
2021.01.04	19:00:00	1940.01	1941.52	1932.57	1937.05	8215	0	16
2021.01.04	20:00:00	1937.05	1943.65	1936.21	1943.61	5111	0	16
2021.01.04	21:00:00	1943.60	1943.63	1939.22	1942.44	3588	0	16
2021.01.04	22:00:00	1942.45	1944.05	1940.89	1943.65	4134	0	17
2021.01.04	23:00:00	1943.63	1943.94	1941.69	1942.77	1514	0	16
2021.01.05	01:00:00	1941.51	1945.56	1940.42	1941.66	2817	0	16
2021.01.05	02:00:00	1941.56	1941.56	1937.76	1938.47	3352	0	18
2021.01.05	03:00:00	1938.46	1939.61	1934.25	1937.40	4446	0	18
2021.01.05	04:00:00	1937.43	1940.04	1936.70	1939.25	4497	0	16
2021.01.05	05:00:00	1939.21	1943.90	1939.04	1941.05	4042	0	19
